@relation recordings_dd

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 string
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 string
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute att144 numeric
@attribute att145 numeric
@attribute att146 numeric
@attribute att147 numeric
@attribute att148 numeric
@attribute att149 numeric
@attribute att150 string
@attribute att151 numeric
@attribute att152 numeric
@attribute att153 numeric
@attribute att154 numeric
@attribute att155 numeric
@attribute att156 numeric
@attribute att157 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att160 numeric
@attribute att161 numeric
@attribute att162 numeric
@attribute att163 numeric
@attribute att164 numeric
@attribute att165 numeric
@attribute att166 numeric
@attribute att167 numeric
@attribute att168 numeric
@attribute att169 numeric
@attribute att170 numeric
@attribute att171 numeric
@attribute att172 numeric
@attribute att173 numeric
@attribute att174 numeric
@attribute att175 numeric
@attribute att176 numeric
@attribute att177 numeric
@attribute att178 numeric
@attribute att179 numeric
@attribute att180 numeric
@attribute att181 {DOWN,UP,LEFT,RIGHT,IN,OUT,IDLE}

@data
-6,-4,0,-7,-13,-2,4,-2,-5,37,14,-17,-6,-4,0,-7,-13,-2,4,-2,-5,37,14,-17,3,5,6,-25,17,7,-4,-4,-2,30,12,3,-1,1,0,-28,-7,-9,-6,-4,0,-7,-13,-2,4,-2,-5,37,14,-17,3,5,6,-25,17,7,-4,-4,-2,30,12,3,-1,1,0,-28,-7,-9,7,3,-1,-1,-14,19,-4,-3,-2,11,-9,7,-4,1,4,-3,7,-1,-6,-4,0,-7,-13,-2,4,-2,-5,37,14,-17,3,5,6,-25,17,7,-4,-4,-2,30,12,3,-1,1,0,-28,-7,-9,7,3,-1,-1,-14,19,-4,-3,-2,11,-9,7,-4,1,4,-3,7,-1,1,0,-2,7,0,-17,3,3,3,-22,-8,19,-15,0,-2,0,-2,-52,-6,-4,0,-7,-13,-2,4,-2,-5,37,14,-17,3,5,6,-25,17,7,-4,-4,-2,30,12,3,LEFT
0,-4,-2,19,20,14,-3,1,2,-17,-6,-12,0,-4,-2,19,20,14,-3,1,2,-17,-6,-12,2,1,-1,-7,-10,8,-1,-4,-4,30,17,-16,2,5,5,2,-4,11,0,-4,-2,19,20,14,-3,1,2,-17,-6,-12,2,1,-1,-7,-10,8,-1,-4,-4,30,17,-16,2,5,5,2,-4,11,0,-4,-2,19,20,14,-3,1,2,-17,-6,-12,2,1,-1,-7,-10,8,-1,-4,-4,30,17,-16,2,5,5,2,-4,11,-2,4,0,-47,-25,17,0,-4,-2,19,20,14,-3,1,2,-17,-6,-12,2,1,-1,-7,-10,8,-1,-4,-4,30,17,-16,2,5,5,2,-4,11,-2,4,0,-47,-25,17,-6,-7,-5,3,7,-10,0,-4,-2,19,20,14,-3,1,2,-17,-6,-12,2,1,-1,-7,-10,8,-1,-4,-4,30,17,-16,2,5,5,2,-4,11,LEFT
-3,-2,1,10,-8,-4,0,2,0,-9,-7,2,0,1,0,2,19,-7,-3,-2,1,10,-8,-4,0,2,0,-9,-7,2,0,1,0,2,19,-7,3,1,-3,-25,-10,14,-4,-6,-4,12,8,-8,4,1,4,46,-7,-,-3,-2,1,10,-8,-4,0,2,0,-9,-7,2,0,1,0,2,19,-7,3,1,-3,-25,-10,14,-4,-6,-4,12,8,-8,4,1,4,46,-7,-12,0,4,5,-18,-16,-3,-1,1,0,-30,4,15,-3,-2,1,10,-8,-4,0,2,0,-9,-7,2,0,1,0,2,19,-7,3,1,-3,-25,-10,14,-4,-6,-4,12,8,-8,4,1,4,46,-7,-12,0,4,5,-18,-16,-3,-1,1,0,-30,4,15,3,-3,-5,2,11,-7,1,2,1,13,7,19,-4,-3,-2,3,1,10,1,-1,1,24,2,?,-3,-2,1,10,-8,-4,LEFT
-3,-4,-4,0,4,-23,6,3,-1,10,-10,11,-6,4,4,4,1,2,-3,-4,-4,0,4,-23,6,3,-1,10,-10,11,-6,4,4,4,1,22,-5,-5,-3,-12,7,-22,5,1,3,-6,-14,5,-3,-4,-4,0,4,-23,6,3,-1,10,-10,11,-6,4,4,4,1,22,-5,-5,-3,-12,7,-22,5,1,3,-6,-14,5,-6,1,0,11,16,-17,-3,-4,-4,0,4,-23,6,3,-1,10,-10,11,-6,4,4,4,1,22,-5,-5,-3,-12,7,-22,5,1,3,-6,-14,5,-6,1,0,11,16,-17,-3,-4,-4,0,4,-23,6,3,-1,10,-10,11,-6,4,4,4,1,22,-5,-5,-3,-12,7,-22,5,1,3,-6,-14,5,-6,1,0,11,16,-17,1,-1,-4,2,4,-38,-3,-4,-4,0,4,-23,6,3,-1,10,-10,11,-6,4,4,4,1,22,LEFT
4,-2,-6,4,29,11,-3,-1,1,31,14,13,4,-2,-6,4,29,11,-3,-1,1,31,14,13,-3,1,4,-23,-18,-5,-1,1,-2,-14,3,-14,6,0,-1,1,7,12,4,-2,-6,4,29,11,-3,-1,1,31,14,13,-3,1,4,-23,-18,-5,-1,1,-2,-14,3,-14,6,0,-1,1,7,12,-3,-2,1,13,-7,12,-1,0,0,7,-4,-5,1,1,-1,-20,-3,5,4,-2,-6,4,29,11,-3,-1,1,31,14,13,-3,1,4,-23,-18,-5,-1,1,-2,-14,3,-14,6,0,-1,1,7,12,-3,-2,1,13,-7,12,-1,0,0,7,-4,-5,1,1,-1,-20,-3,5,0,0,1,11,4,-8,-1,2,2,-7,4,1,-2,-1,-1,-10,-17,-7,4,-2,-6,4,29,11,-3,-1,1,31,14,13,-3,1,4,-23,-18,-5,-1,1,-2,-14,3,-14,LEFT
0,0,-2,22,15,13,0,0,-2,22,15,13,-4,1,4,-19,-13,-18,4,-1,0,-5,12,-8,0,1,-1,6,4,4,0,0,-2,22,15,13,-4,1,4,-19,-13,-18,4,-1,0,-5,12,-8,0,1,-1,6,4,4,0,-1,-2,3,3,8,0,1,5,-10,-11,3,0,-1,-3,1,5,15,0,0,-2,22,15,13,-4,1,4,-19,-13,-18,4,-1,0,-5,12,-8,0,1,-1,6,4,4,0,-1,-2,3,3,8,0,1,5,-10,-11,3,0,-1,-3,1,5,15,-1,0,-1,7,-14,-3,-6,1,1,32,23,-32,-5,7,6,-41,-15,-11,0,0,-2,22,15,13,-4,1,4,-19,-13,-18,4,-1,0,-5,12,-8,0,1,-1,6,4,4,0,-1,-2,3,3,8,0,1,5,-10,-11,3,0,-1,-3,1,5,15,-1,0,-1,7,-14,-3,LEFT
3,3,3,9,7,35,-8,-4,3,-42,-30,10,3,-1,-5,15,9,-,3,3,3,9,7,35,-8,-4,3,-42,-30,10,3,-1,-5,15,9,-13,-2,3,1,1,7,22,-1,0,-2,-3,-12,-14,3,3,3,9,7,35,-8,-4,3,-42,-30,10,3,-1,-5,15,9,-13,-2,3,1,1,7,22,-1,0,-2,-3,-12,-14,-7,3,5,-8,-3,-18,-4,-2,-1,6,-14,-52,3,3,3,9,7,35,-8,-4,3,-42,-30,10,3,-1,-5,15,9,-13,-2,3,1,1,7,22,-1,0,-2,-3,-12,-14,-7,3,5,-8,-3,-18,-4,-2,-1,6,-14,-52,-5,3,1,-20,-7,-56,3,3,3,9,7,35,-8,-4,3,-42,-30,10,3,-1,-5,15,9,-13,-2,3,1,1,7,22,-1,0,-2,-3,-12,-14,-7,3,5,-8,-3,-18,-4,-2,-1,6,-14,-52,LEFT
1,-2,-4,1,8,0,2,1,0,-2,-18,12,-4,-5,-1,16,7,-1,1,-2,-4,1,8,0,2,1,0,-2,-18,12,-4,-5,-1,16,7,-1,-1,6,6,28,24,-10,-1,2,0,-51,-46,-2,1,-2,-4,1,8,0,2,1,0,-2,-18,12,-4,-5,-1,16,7,-1,-1,6,6,28,24,-10,-1,2,0,-51,-46,-2,-5,-2,-4,-16,-8,-2,1,-2,-4,1,8,0,2,1,0,-2,-18,12,-4,-5,-1,16,7,-1,-1,6,6,28,24,-10,-1,2,0,-51,-46,-2,-5,-2,-4,-16,-8,-21,-16,-2,-3,22,2,-7,1,-2,-4,1,8,0,2,1,0,-2,-18,12,-4,-5,-1,16,7,-1,-1,6,6,28,24,-10,-1,2,0,-51,-46,-2,-5,-2,-4,-16,-8,-21,-16,-2,-3,22,2,-71,-4,1,-1,47,8,-10,1,-2,-4,1,8,0,LEFT
2,1,-3,14,16,16,-5,1,4,-3,-10,-3,2,-4,-5,9,17,?,2,1,-3,14,16,16,-5,1,4,-3,-10,-3,2,-4,-5,9,17,-28,0,5,7,-13,-8,16,2,-4,-5,16,6,1,2,1,-3,14,16,16,-5,1,4,-3,-10,-3,2,-4,-5,9,17,-28,0,5,7,-13,-8,16,2,-4,-5,16,6,1,-3,3,4,-8,-14,15,1,-1,-1,-4,11,-2,-2,-1,-2,-5,-2,0,2,1,-3,14,16,16,-5,1,4,-3,-10,-3,2,-4,-5,9,17,-28,0,5,7,-13,-8,16,2,-4,-5,16,6,1,-3,3,4,-8,-14,15,1,-1,-1,-4,11,-2,-2,-1,-2,-5,-2,0,-3,1,0,5,1,-20,2,1,-3,14,16,16,-5,1,4,-3,-10,-3,2,-4,-5,9,17,-28,0,5,7,-13,-8,16,2,-4,-5,16,6,1,LEFT
2,0,2,12,-4,2,-1,0,-1,1,2,1,2,0,2,12,-4,2,-1,0,-1,1,2,1,-1,1,1,-14,8,6,2,0,2,12,-4,2,-1,0,-1,1,2,1,-1,1,1,-14,8,6,-1,-2,1,13,-16,-3,2,0,2,12,-4,2,-1,0,-1,1,2,1,-1,1,1,-14,8,6,-1,-2,1,13,-16,-3,3,1,-1,-3,6,2,2,0,2,12,-4,2,-1,0,-1,1,2,1,-1,1,1,-14,8,6,-1,-2,1,13,-16,-3,3,1,-1,-3,6,2,-2,-1,0,-3,-8,-6,2,0,2,12,-4,2,-1,0,-1,1,2,1,-1,1,1,-14,8,6,-1,-2,1,13,-16,-3,3,1,-1,-3,6,2,-2,-1,0,-3,-8,-6,2,0,-1,-5,8,8,2,0,2,12,-4,2,-1,0,-1,1,2,1,-1,1,1,-14,8,6,RIGHT
-1,-1,1,21,-5,6,-3,0,-3,-23,-13,-14,3,0,0,9,7,?,-1,-1,1,21,-5,6,-3,0,-3,-23,-13,-14,3,0,0,9,7,12,-2,-1,1,20,-3,-16,4,2,1,-34,-2,12,-1,-1,1,21,-5,6,-3,0,-3,-23,-13,-14,3,0,0,9,7,12,-2,-1,1,20,-3,-16,4,2,1,-34,-2,12,2,-1,1,2,25,8,-5,-1,-2,-12,-8,-11,3,1,-5,24,4,9,-1,-1,1,21,-5,6,-3,0,-3,-23,-13,-14,3,0,0,9,7,12,-2,-1,1,20,-3,-16,4,2,1,-34,-2,12,2,-1,1,2,25,8,-5,-1,-2,-12,-8,-11,3,1,-5,24,4,9,-2,2,4,30,-7,6,-2,0,2,-9,-7,-14,-1,-2,1,-30,9,-11,-1,-1,1,21,-5,6,-3,0,-3,-23,-13,-14,3,0,0,9,7,12,RIGHT
-6,-5,-4,-3,-4,-3,0,-1,-2,19,-5,-6,-6,-5,-4,-3,-4,-3,0,-1,-2,19,-5,-6,4,4,0,25,12,-3,-2,0,4,-21,-14,4,0,1,0,-12,2,-6,-6,-5,-4,-3,-4,-3,0,-1,-2,19,-5,-6,4,4,0,25,12,-3,-2,0,4,-21,-14,4,0,1,0,-12,2,-6,4,-1,-3,1,8,-6,-1,-1,-1,8,-13,26,-3,0,1,31,9,-17,-6,-5,-4,-3,-4,-3,0,-1,-2,19,-5,-6,4,4,0,25,12,-3,-2,0,4,-21,-14,4,0,1,0,-12,2,-6,4,-1,-3,1,8,-6,-1,-1,-1,8,-13,26,-3,0,1,31,9,-17,2,5,4,-9,16,-1,-6,-2,2,-38,-9,4,2,0,-4,-15,-15,-20,-6,-5,-4,-3,-4,-3,0,-1,-2,19,-5,-6,4,4,0,25,12,-3,-2,0,4,-21,-14,4,RIGHT
0,2,2,-19,-17,6,0,2,2,-19,-17,6,-3,-1,-1,-11,6,-18,0,2,2,-19,-17,6,-3,-1,-1,-11,6,-18,7,2,-3,15,25,16,0,2,2,-19,-17,6,-3,-1,-1,-11,6,-18,7,2,-3,15,25,16,-1,-3,0,-4,-10,30,0,2,2,-19,-17,6,-3,-1,-1,-11,6,-18,7,2,-3,15,25,16,-1,-3,0,-4,-10,30,4,0,0,0,49,-5,0,2,2,-19,-17,6,-3,-1,-1,-11,6,-18,7,2,-3,15,25,16,-1,-3,0,-4,-10,30,4,0,0,0,49,-5,10,4,6,-24,-66,71,0,2,2,-19,-17,6,-3,-1,-1,-11,6,-18,7,2,-3,15,25,16,-1,-3,0,-4,-10,30,4,0,0,0,49,-5,10,4,6,-24,-66,71,18,0,-6,10,15,86,0,2,2,-19,-17,6,-3,-1,-1,-11,6,-18,RIGHT
-2,0,1,0,4,2,0,-2,-1,-12,-3,9,0,3,3,-7,13,-12,-2,0,1,0,4,2,0,-2,-1,-12,-3,9,0,3,3,-7,13,-12,0,-2,-5,-2,1,-10,1,4,5,23,4,9,-3,-4,-3,-11,-11,?,-2,0,1,0,4,2,0,-2,-1,-12,-3,9,0,3,3,-7,13,-12,0,-2,-5,-2,1,-10,1,4,5,23,4,9,-3,-4,-3,-11,-11,-5,10,0,-4,4,27,-8,-2,0,1,0,4,2,0,-2,-1,-12,-3,9,0,3,3,-7,13,-12,0,-2,-5,-2,1,-10,1,4,5,23,4,9,-3,-4,-3,-11,-11,-5,10,0,-4,4,27,-8,2,2,6,-12,-22,60,-2,0,1,0,4,2,0,-2,-1,-12,-3,9,0,3,3,-7,13,-12,0,-2,-5,-2,1,-10,1,4,5,23,4,9,-3,-4,-3,-11,-11,-5,RIGHT
3,4,4,-29,-17,12,1,-2,-3,34,15,-6,3,4,4,-29,-17,12,1,-2,-3,34,15,-6,-2,-1,0,-13,-13,7,2,0,0,-5,17,-8,-1,3,2,20,2,-8,3,4,4,-29,-17,12,1,-2,-3,34,15,-6,-2,-1,0,-13,-13,7,2,0,0,-5,17,-8,-1,3,2,20,2,-8,-3,0,0,-23,-50,26,1,-1,-1,12,19,-9,3,1,0,-2,16,-3,3,4,4,-29,-17,12,1,-2,-3,34,15,-6,-2,-1,0,-13,-13,7,2,0,0,-5,17,-8,-1,3,2,20,2,-8,-3,0,0,-23,-50,26,1,-1,-1,12,19,-9,3,1,0,-2,16,-3,-4,0,2,-4,14,-7,12,2,-1,11,7,13,3,4,4,-29,-17,12,1,-2,-3,34,15,-6,-2,-1,0,-13,-13,7,2,0,0,-5,17,-8,-1,3,2,20,2,-8,RIGHT
-1,1,0,12,15,-16,4,2,4,-8,-18,11,-1,1,0,12,15,-16,4,2,4,-8,-18,11,-4,-2,-1,-5,18,3,1,2,0,11,0,-11,4,0,-1,-21,-8,20,-1,1,0,12,15,-16,4,2,4,-8,-18,11,-4,-2,-1,-5,18,3,1,2,0,11,0,-11,4,0,-1,-21,-8,20,-5,-2,-1,33,12,-12,2,4,3,-2,-3,1,2,-3,-3,-16,-4,5,-1,1,0,12,15,-16,4,2,4,-8,-18,11,-4,-2,-1,-5,18,3,1,2,0,11,0,-11,4,0,-1,-21,-8,20,-5,-2,-1,33,12,-12,2,4,3,-2,-3,1,2,-3,-3,-16,-4,5,-5,1,1,6,17,-13,10,4,1,4,2,2,2,0,-1,57,-193,98,-1,1,0,12,15,-16,4,2,4,-8,-18,11,-4,-2,-1,-5,18,3,1,2,0,11,0,-11,RIGHT
-1,-2,0,5,-1,9,-1,-2,0,5,-1,9,-4,8,6,-32,-8,-10,5,-12,-10,-25,-65,1,4,3,7,82,11,17,-1,-2,0,5,-1,9,-4,8,6,-32,-8,-10,5,-12,-10,-25,-65,1,4,3,7,82,11,17,-2,4,1,45,58,-4,-9,17,20,-145,8,8,5,-22,-36,-85,-94,0,-1,-2,0,5,-1,9,-4,8,6,-32,-8,-10,5,-12,-10,-25,-65,1,4,3,7,82,11,17,-2,4,1,45,58,-4,-9,17,20,-145,8,8,5,-22,-36,-85,-94,0,12,-24,-19,270,51,-37,15,30,46,119,143,89,-1,-2,0,5,-1,9,-4,8,6,-32,-8,-10,5,-12,-10,-25,-65,1,4,3,7,82,11,17,-2,4,1,45,58,-4,-9,17,20,-145,8,8,5,-22,-36,-85,-94,0,12,-24,-19,270,51,-37,15,30,46,119,143,89,RIGHT
3,2,1,-33,-38,20,-6,-5,-5,14,31,-25,3,2,1,-33,-38,20,-6,-5,-5,14,31,-25,0,0,2,-12,-10,13,4,0,-1,34,5,-16,3,2,2,-21,7,22,3,2,1,-33,-38,20,-6,-5,-5,14,31,-25,0,0,2,-12,-10,13,4,0,-1,34,5,-16,3,2,2,-21,7,22,-5,0,1,0,-19,5,0,-2,-1,-20,9,-20,7,1,-3,14,8,15,3,2,1,-33,-38,20,-6,-5,-5,14,31,-25,0,0,2,-12,-10,13,4,0,-1,34,5,-16,3,2,2,-21,7,22,-5,0,1,0,-19,5,0,-2,-1,-20,9,-20,7,1,-3,14,8,15,-7,-1,1,6,5,-3,4,2,1,-5,-27,-3,2,-6,-11,-8,-49,26,3,2,1,-33,-38,20,-6,-5,-5,14,31,-25,0,0,2,-12,-10,13,4,0,-1,34,5,-16,RIGHT
-4,-5,-2,15,-15,8,2,5,3,-1,36,-20,-4,-5,-2,15,-15,8,2,5,3,-1,36,-20,-2,-4,-4,4,-25,9,1,0,0,17,14,-9,-4,3,1,-4,-21,-4,-4,-5,-2,15,-15,8,2,5,3,-1,36,-20,-2,-4,-4,4,-25,9,1,0,0,17,14,-9,-4,3,1,-4,-21,-4,4,-2,-1,-24,0,-1,-4,-5,-2,15,-15,8,2,5,3,-1,36,-20,-2,-4,-4,4,-25,9,1,0,0,17,14,-9,-4,3,1,-4,-21,-4,4,-2,-1,-24,0,-1,-1,-1,-1,-2,4,7,-4,-5,-2,15,-15,8,2,5,3,-1,36,-20,-2,-4,-4,4,-25,9,1,0,0,17,14,-9,-4,3,1,-4,-21,-4,4,-2,-1,-24,0,-1,-1,-1,-1,-2,4,7,0,3,3,15,8,2,-4,-5,-2,15,-15,8,2,5,3,-1,36,-20,RIGHT
-4,-2,-1,1,-2,6,-3,-1,0,10,-4,-5,1,?,2,5,-10,15,-4,-2,-1,1,-2,6,-3,-1,0,10,-4,-5,1,5,1,-17,0,-7,-4,-2,-1,1,-2,6,-3,-1,0,10,-4,-5,1,5,1,-17,0,-7,2,-2,-3,15,14,2,-4,-2,-1,1,-2,6,-3,-1,0,10,-4,-5,1,5,1,-17,0,-7,2,-2,-3,15,14,2,2,1,3,-9,-33,11,-4,-2,-1,1,-2,6,-3,-1,0,10,-4,-5,1,5,1,-17,0,-7,2,-2,-3,15,14,2,2,1,3,-9,-33,11,-4,-2,-1,1,-2,6,-3,-1,0,10,-4,-5,1,5,1,-17,0,-7,2,-2,-3,15,14,2,2,1,3,-9,-33,11,4,-1,-2,30,15,-14,-4,-2,-1,1,-2,6,-3,-1,0,10,-4,-5,1,5,1,-17,0,-7,2,-2,-3,15,14,2,RIGHT
0,-4,-4,-12,-32,21,1,1,-1,48,36,-23,0,-4,-4,-12,-32,21,1,1,-1,48,36,-23,0,1,5,-17,-5,5,-2,2,1,-7,-9,-12,4,0,-1,-8,-19,19,0,-4,-4,-12,-32,21,1,1,-1,48,36,-23,0,1,5,-17,-5,5,-2,2,1,-7,-9,-12,4,0,-1,-8,-19,19,-6,-5,-6,22,30,-18,6,7,6,-13,-9,18,-6,-6,-5,1,2,-13,0,-4,-4,-12,-32,21,1,1,-1,48,36,-23,0,1,5,-17,-5,5,-2,2,1,-7,-9,-12,4,0,-1,-8,-19,19,-6,-5,-6,22,30,-18,6,7,6,-13,-9,18,-6,-6,-5,1,2,-13,4,2,3,-3,-13,9,-1,1,1,27,26,-15,2,-1,2,-28,-6,-11,0,-4,-4,-12,-32,21,1,1,-1,48,36,-23,0,1,5,-17,-5,5,-2,2,1,-7,-9,-12,RIGHT
1,3,2,-25,19,11,-1,0,-1,9,-1,-2,-2,-1,0,0,6,-7,1,3,2,-25,19,11,-1,0,-1,9,-1,-2,-2,-1,0,0,6,-7,3,-2,-1,-4,31,-22,3,3,0,19,-20,25,1,3,2,-25,19,11,-1,0,-1,9,-1,-2,-2,-1,0,0,6,-7,3,-2,-1,-4,31,-22,3,3,0,19,-20,25,-3,-1,1,0,-16,-9,1,-2,-2,-8,-14,27,2,2,1,15,13,-9,1,3,2,-25,19,11,-1,0,-1,9,-1,-2,-2,-1,0,0,6,-7,3,-2,-1,-4,31,-22,3,3,0,19,-20,25,-3,-1,1,0,-16,-9,1,-2,-2,-8,-14,27,2,2,1,15,13,-9,-7,0,0,0,-3,22,-4,0,1,0,4,-23,6,3,2,-16,-2,-11,1,3,2,-25,19,11,-1,0,-1,9,-1,-2,-2,-1,0,0,6,-7,IN
-2,0,2,-2,6,7,-1,0,0,18,5,-6,1,-1,-1,-1,-9,0,-2,0,2,-2,6,7,-1,0,0,18,5,-6,1,-1,-1,-1,-9,0,4,-2,0,-6,17,9,-2,3,0,-9,4,-2,-4,0,1,6,-22,17,-2,0,2,-2,6,7,-1,0,0,18,5,-6,1,-1,-1,-1,-9,0,4,-2,0,-6,17,9,-2,3,0,-9,4,-2,-4,0,1,6,-22,17,-2,-1,-1,-1,11,-30,6,3,1,3,-27,15,-2,0,2,-2,6,7,-1,0,0,18,5,-6,1,-1,-1,-1,-9,0,4,-2,0,-6,17,9,-2,3,0,-9,4,-2,-4,0,1,6,-22,17,-2,-1,-1,-1,11,-30,6,3,1,3,-27,15,-2,-2,3,-15,-44,-3,-2,0,2,-2,6,7,-1,0,0,18,5,-6,1,-1,-1,-1,-9,0,4,-2,0,-6,17,9,IN
0,-2,-3,-23,-3,-3,0,3,-1,12,18,-8,0,-2,-3,-23,-3,-3,0,3,-1,12,18,-8,0,-3,-1,9,-26,16,-2,1,1,7,14,-9,2,1,0,-18,9,-12,0,-2,-3,-23,-3,-3,0,3,-1,12,18,-8,0,-3,-1,9,-26,16,-2,1,1,7,14,-9,2,1,0,-18,9,-12,4,-1,0,-11,-2,7,-1,1,-1,39,-17,19,-4,-1,1,-16,6,-5,0,-2,-3,-23,-3,-3,0,3,-1,12,18,-8,0,-3,-1,9,-26,16,-2,1,1,7,14,-9,2,1,0,-18,9,-12,4,-1,0,-11,-2,7,-1,1,-1,39,-17,19,-4,-1,1,-16,6,-5,-3,0,3,-10,4,-1,2,1,0,-24,-19,-22,5,0,-2,-2,-62,12,0,-2,-3,-23,-3,-3,0,3,-1,12,18,-8,0,-3,-1,9,-26,16,-2,1,1,7,14,-9,IN
0,2,-1,-1,23,0,4,-2,0,-1,-4,6,2,2,2,-19,31,-36,0,2,-1,-1,23,0,4,-2,0,-1,-4,6,2,2,2,15,15,-7,0,-1,1,9,-22,18,-2,2,2,-29,29,1,0,2,-1,-1,23,0,4,-2,0,-1,-4,6,2,2,2,15,15,-7,0,-1,1,9,-22,18,-2,2,2,-29,29,1,-1,-1,-4,-16,-13,-4,0,0,0,28,-8,11,1,1,2,2,-7,-10,0,2,-1,-1,23,0,4,-2,0,-1,-4,6,2,2,2,15,15,-7,0,-1,1,9,-22,18,-2,2,2,-29,29,1,-1,-1,-4,-16,-13,-4,0,0,0,28,-8,11,1,1,2,2,-7,-10,-2,-1,-1,-13,-49,11,0,2,-1,-1,23,0,4,-2,0,-1,-4,6,2,2,2,15,15,-7,0,-1,1,9,-22,18,-2,2,2,-29,29,1,IN
1,0,-1,6,-5,3,2,0,-2,8,-3,-7,-2,0,-2,24,38,-23,1,0,-1,6,-5,3,2,0,-2,8,-3,-7,-2,0,-2,-3,-8,7,4,0,0,23,-4,7,-6,0,6,-21,2,-12,5,1,-2,924,38,-23,1,0,-1,6,-5,3,2,0,-2,8,-3,-7,-2,0,-2,-3,-8,7,4,0,0,23,-4,7,-6,0,6,-21,2,-12,5,1,-2,9,-14,13,-1,-3,-1,0,17,4,0,1,0,-1,-2,10,-1,2,0,-24,38,-23,1,0,-1,6,-5,3,2,0,-2,8,-3,-7,-2,0,-2,-3,-8,7,4,0,0,23,-4,7,-6,0,6,-21,2,-12,5,1,-2,9,-14,13,-1,-3,-1,0,17,4,0,1,0,-1,-2,10,-1,2,0,-8,28,8,-4,-1,-3,2,-49,-11,-1,-1,1,9,14,-20,1,0,-1,6,-5,3,IN
