@relation recordings_dd

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 string
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 string
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute att144 numeric
@attribute att145 numeric
@attribute att146 numeric
@attribute att147 numeric
@attribute att148 numeric
@attribute att149 numeric
@attribute att150 string
@attribute att151 numeric
@attribute att152 numeric
@attribute att153 numeric
@attribute att154 numeric
@attribute att155 numeric
@attribute att156 numeric
@attribute att157 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att160 numeric
@attribute att161 numeric
@attribute att162 numeric
@attribute att163 numeric
@attribute att164 numeric
@attribute att165 numeric
@attribute att166 numeric
@attribute att167 numeric
@attribute att168 numeric
@attribute att169 numeric
@attribute att170 numeric
@attribute att171 numeric
@attribute att172 numeric
@attribute att173 numeric
@attribute att174 numeric
@attribute att175 numeric
@attribute att176 numeric
@attribute att177 numeric
@attribute att178 numeric
@attribute att179 numeric
@attribute att180 numeric
@attribute att181 {DOWN,UP,LEFT,RIGHT,IN,OUT,IDLE}

@data
1,3,1,-29,-22,2,-3,-3,-1,18,-1,5,-1,0,2,8,14,1,1,3,1,-29,-22,2,-3,-3,-1,18,-1,5,-1,0,2,8,-5,-11,1,1,3,-26,-8,2,3,0,-6,10,12,-4,-5,-1,3,?,14,1,1,3,1,-29,-22,2,-3,-3,-1,18,-1,5,-1,0,2,8,-5,-11,1,1,3,-26,-8,2,3,0,-6,10,12,-4,-5,-1,3,17,22,4,2,1,1,-16,-17,-8,2,7,9,-34,-16,19,1,3,1,-29,-22,2,-3,-3,-1,18,-1,5,-1,0,2,8,-5,-11,1,1,3,-26,-8,2,3,0,-6,10,12,-4,-5,-1,3,17,22,4,2,1,1,-16,-17,-8,2,7,9,-34,-16,19,-4,-11,-14,21,12,-8,5,0,3,39,27,10,-2,5,5,3,-4,-1,1,3,1,-29,-22,2,-3,-3,-1,18,-1,5,UP
2,-1,-1,34,0,-1,-4,4,9,-10,1,12,2,-1,-1,34,0,-1,-4,4,9,-10,1,12,0,2,-1,-38,-11,4,-5,-6,-10,-38,17,-22,7,0,-1,30,-9,0,2,-1,-1,34,0,-1,-4,4,9,-10,1,12,0,2,-1,-38,-11,4,-5,-6,-10,-38,17,-22,7,0,-1,30,-9,0,1,3,6,12,-25,8,2,-1,-1,34,0,-1,-4,4,9,-10,1,12,0,2,-1,-38,-11,4,-5,-6,-10,-38,17,-22,7,0,-1,30,-9,0,1,3,6,12,-25,8,-2,-3,-4,1,-1,3,2,-1,-1,34,0,-1,-4,4,9,-10,1,12,0,2,-1,-38,-11,4,-5,-6,-10,-38,17,-22,7,0,-1,30,-9,0,1,3,6,12,-25,8,-2,-3,-4,1,-1,3,4,1,3,15,2,-12,2,-1,-1,34,0,-1,-4,4,9,-10,1,12,UP
2,2,-2,22,-29,9,2,2,-2,22,-29,9,13,-2,-17,91,0,22,2,2,-2,22,-29,9,13,-2,-17,91,0,22,2,3,-6,103,-48,53,2,2,-2,22,-29,9,13,-2,-17,91,0,22,2,3,-6,103,-48,53,5,1,-16,174,-68,42,2,2,-2,22,-29,9,13,-2,-17,91,0,22,2,3,-6,103,-48,53,5,1,-16,174,-68,42,1,8,7,189,10,76,2,2,-2,22,-29,9,13,-2,-17,91,0,22,2,3,-6,103,-48,53,5,1,-16,174,-68,42,1,8,7,189,10,76,-2,11,3,56,-65,3,2,2,-2,22,-29,9,13,-2,-17,91,0,22,2,3,-6,103,-48,53,5,1,-16,174,-68,42,1,8,7,189,10,76,-2,11,3,56,-65,3,9,5,-15,175,-28,88,2,2,-2,22,-29,9,13,-2,-17,91,0,22,UP
2,0,-3,22,-9,13,2,0,-3,22,-9,13,-3,-1,1,-4,-16,4,0,0,0,15,-10,4,-4,0,-1,-28,-8,-20,2,0,-3,22,-9,13,-3,-1,1,-4,-16,4,0,0,0,15,-10,4,-4,0,-1,-28,-8,-20,8,2,4,7,25,-4,-6,1,-1,4,-11,1,1,-1,-4,-14,-9,13,2,0,-3,22,-9,13,-3,-1,1,-4,-16,4,0,0,0,15,-10,4,-4,0,-1,-28,-8,-20,8,2,4,7,25,-4,-6,1,-1,4,-11,1,1,-1,-4,-14,-9,13,0,1,0,-16,-1,-5,3,-6,-5,48,20,-7,-1,6,12,-9,36,-3,2,0,-3,22,-9,13,-3,-1,1,-4,-16,4,0,0,0,15,-10,4,-4,0,-1,-28,-8,-20,8,2,4,7,25,-4,-6,1,-1,4,-11,1,1,-1,-4,-14,-9,13,0,1,0,-16,-1,-5,UP
-2,3,1,9,-3,-8,4,3,4,9,-7,3,-2,3,1,9,-3,-8,4,3,4,9,-7,3,-5,-5,0,14,5,5,-1,4,-2,-31,13,-22,7,-3,-3,28,-47,20,-2,3,1,9,-3,-8,4,3,4,9,-7,3,-5,-5,0,14,5,5,-1,4,-2,-31,13,-22,7,-3,-3,28,-47,20,0,3,4,-16,70,-18,0,0,2,-11,-27,12,-1,1,0,-6,-9,4,-2,3,1,9,-3,-8,4,3,4,9,-7,3,-5,-5,0,14,5,5,-1,4,-2,-31,13,-22,7,-3,-3,28,-47,20,0,3,4,-16,70,-18,0,0,2,-11,-27,12,-1,1,0,-6,-9,4,1,0,-2,-14,13,-8,-1,0,1,-6,-8,-1,-2,3,1,9,-3,-8,4,3,4,9,-7,3,-5,-5,0,14,5,5,-1,4,-2,-31,13,-22,7,-3,-3,28,-47,20,UP
-6,-3,-4,-4,-7,-8,3,0,1,10,-4,-6,-6,-3,-4,-4,-7,-8,3,0,1,10,-4,-6,-1,-1,-2,-2,-7,-12,5,2,4,9,22,-8,-4,3,3,-37,-7,19,-6,-3,-4,-4,-7,-8,3,0,1,10,-4,-6,-1,-1,-2,-2,-7,-12,5,2,4,9,22,-8,-4,3,3,-37,-7,19,-1,-3,-4,-2,-15,-1,1,-4,-6,29,7,-15,2,2,5,23,22,4,-6,-3,-4,-4,-7,-8,3,0,1,10,-4,-6,-1,-1,-2,-2,-7,-12,5,2,4,9,22,-8,-4,3,3,-37,-7,19,-1,-3,-4,-2,-15,-1,1,-4,-6,29,7,-15,2,2,5,23,22,4,-1,6,5,-46,-6,4,1,-10,-19,13,-50,-,-6,-3,-4,-4,-7,-8,3,0,1,10,-4,-6,-1,-1,-2,-2,-7,-12,5,2,4,9,22,-8,-4,3,3,-37,-7,19,UP
0,0,2,5,-8,-6,2,2,-1,-31,6,15,0,-1,-6,52,15,-4,0,0,2,5,-8,-6,2,2,-1,-31,6,15,0,-1,-6,52,15,-4,-1,1,4,-9,-13,13,-3,-2,1,-7,-8,-10,2,3,4,4,-6,-8,0,0,2,5,-8,-6,2,2,-1,-31,6,15,0,-1,-6,52,15,-4,-1,1,4,-9,-13,13,-3,-2,1,-7,-8,-10,2,3,4,4,-6,-9,2,0,0,-26,25,-7,-3,-1,-2,-15,-2,-12,0,0,2,5,-8,-6,2,2,-1,-31,6,15,0,-1,-6,52,15,-4,-1,1,4,-9,-13,13,-3,-2,1,-7,-8,-10,2,3,4,4,-6,-9,2,0,0,-26,25,-7,-3,-1,-2,-15,-2,-12,2,0,-10,-9,-39,-6,0,0,2,5,-8,-6,2,2,-1,-31,6,15,0,-1,-6,52,15,-4,-1,1,4,-9,-13,13,UP
5,-2,-4,1,4,-21,3,0,1,-17,3,15,-1,1,1,19,-23,9,5,-2,-4,1,4,-21,3,0,1,-17,3,15,-1,1,1,19,-23,9,0,-1,0,-1,4,1,-1,3,3,-11,12,7,-4,-3,-5,12,-14,?,5,-2,-4,1,4,-21,3,0,1,-17,3,15,-1,1,1,19,-23,9,0,-1,0,-1,4,1,-1,3,3,-11,12,7,-4,-3,-5,12,-14,-16,2,3,2,-13,2,-5,2,-1,2,-6,5,1,0,-5,-5,27,-5,?,5,-2,-4,1,4,-21,3,0,1,-17,3,15,-1,1,1,19,-23,9,0,-1,0,-1,4,1,-1,3,3,-11,12,7,-4,-3,-5,12,-14,-16,2,3,2,-13,2,-5,2,-1,2,-6,5,1,0,-5,-5,27,-5,-5,-1,5,4,-47,27,1,1,-3,-7,27,-12,-16,5,-2,-4,1,4,-21,UP
1,-2,-1,-18,2,5,-1,2,-2,31,3,-8,1,-2,-1,-18,2,5,-1,2,-2,31,3,-8,0,-1,1,-15,-4,8,3,-1,-1,11,22,-13,-1,3,4,-5,-1,10,1,-2,-1,-18,2,5,-1,2,-2,31,3,-8,0,-1,1,-15,-4,8,3,-1,-1,11,22,-13,-1,3,4,-5,-1,10,0,-2,-2,-9,-13,-6,-1,0,1,-2,7,10,1,1,2,0,7,-7,1,-2,-1,-18,2,5,-1,2,-2,31,3,-8,0,-1,1,-15,-4,8,3,-1,-1,11,22,-13,-1,3,4,-5,-1,10,0,-2,-2,-9,-13,-6,-1,0,1,-2,7,10,1,1,2,0,7,-7,-3,-2,-4,-31,-21,5,-2,1,-1,8,12,-21,4,1,1,33,-7,16,1,-2,-1,-18,2,5,-1,2,-2,31,3,-8,0,-1,1,-15,-4,8,3,-1,-1,11,22,-13,UP
1,0,0,-6,30,-3,-3,-1,1,-6,-15,-3,3,0,-1,16,-3,?,1,0,0,-6,30,-3,-3,-1,1,-6,-15,-3,3,0,-1,16,-3,7,-1,1,1,-14,-1,13,-4,-1,-2,-2,6,-18,1,0,0,-6,30,-3,-3,-1,1,-6,-15,-3,3,0,-1,16,-3,7,-1,1,1,-14,-1,13,-4,-1,-2,-2,6,-18,3,2,1,8,-16,4,-1,-3,-1,4,10,3,2,2,-1,17,11,-8,1,0,0,-6,30,-3,-3,-1,1,-6,-15,-3,3,0,-1,16,-3,7,-1,1,1,-14,-1,13,-4,-1,-2,-2,6,-18,3,2,1,8,-16,4,-1,-3,-1,4,10,3,2,2,-1,17,11,-8,0,3,7,-25,-10,12,-6,-1,-3,-20,-23,-7,6,-2,-7,25,35,6,1,0,0,-6,30,-3,-3,-1,1,-6,-15,-3,3,0,-1,16,-3,7,LEFT
